0,1,2,3,4,5,6,7,8
16102.215670955882,62780.240119485294,29211.415073529413,23472.856204044117,43601.41806066177,35230.61392463235,5694.023161764706,231.7307444852941,11761.09453125
22184.16539522059,23674.352435661764,23888.551424632355,20048.581893382354,13041.510431985294,17323.413327205883,11039.600689338235,3943.6782169117646,8345.181020220589
9314.528125,28337.348069852942,17154.182950367645,4478.588648897059,5895.15625,4398.608915441177,1233.0190716911766,933.0434283088235,1068.7374080882353
6129.53046875,7271.325137867647,7041.199172794118,1117.2356158088235,1948.590257352941,1554.4745863970588,138.97169117647059,1185.081755514706,963.8063419117647
7098.480652573529,13744.51640625,8954.495680147058,22013.913602941175,22808.75,21099.144071691175,11047.490073529412,4951.486534926471,8293.696920955883
42858.89122242647,41252.35946691177,47188.77247242647,13773.396415441177,13317.761397058823,17045.038373161766,6042.059650735294,3816.8124540441177,6974.614568014706
6797.915027573529,52717.786994485294,26045.908318014706,24034.810294117648,26369.05059742647,26440.637591911764,17068.829319852943,13520.072288602942,16819.9703125
9380.389016544117,39156.52679227941,17483.44255514706,21985.390854779413,18919.936948529412,18321.721645220587,24036.731847426472,15113.098529411765,18342.327711397058
5725.467647058824,42179.795450367645,20032.215625,29647.549402573528,31396.370220588236,30528.590762867647,16574.239108455884,18960.214935661767,18055.855790441175
43740.62693014706,62519.647288602944,59644.753079044116,9499.81778492647,11926.374540441177,11320.118106617647,5548.42734375,6177.1234375,5939.053033088236
14255.054825367648,61159.31764705882,36836.66659007353,18304.59434742647,23361.666268382352,20336.96989889706,10290.643428308824,8730.990487132352,9181.263694852942
22149.243198529413,18219.878262867645,20777.961213235296,29946.301792279413,23822.447012867648,27012.441911764705,12561.288143382353,11466.577297794118,12308.117784926471
10585.635294117646,15999.540716911764,13736.495174632353,26548.01953125,23767.782261029413,27879.39292279412,11255.29765625,1161.0021599264705,9572.67205882353
9972.221599264705,7299.65762867647,8180.896323529411,13147.963740808824,10092.172426470588,11066.344347426471,7381.091636029411,6367.234742647059,6670.226700367647
6765.579549632353,19456.777895220588,13288.08846507353,17245.501056985293,25332.731112132355,21460.26502757353,8414.498391544117,15036.694852941177,11669.964016544118
