0,1,2,3,4,5,6,7,8,9,10,11
17918.46514892578,62676.58868408203,30196.864318847656,20773.38751220703,63169.80895996094,34956.27374267578,17891.391235351562,15638.142456054688,28166.085693359375,3587.4429931640625,111.3670654296875,8005.325012207031
17811.1572265625,22429.118530273438,20822.076782226562,31777.99676513672,23975.06365966797,29198.47412109375,6934.6810302734375,2526.3687744140625,5162.7630615234375,14581.868774414062,5187.4835205078125,10885.711303710938
6750.314636230469,29490.28338623047,16626.031494140625,10356.696594238281,15157.064392089844,11058.066040039062,1756.2490844726562,1131.5402221679688,1331.5204467773438,1103.8919067382812,938.3580932617188,1041.71337890625
6005.341552734375,7166.7252197265625,6951.142578125,3586.7764892578125,4820.431457519531,4342.102966308594,163.73858642578125,717.5940551757812,524.7451782226562,53.385009765625,1123.88916015625,884.9887084960938
4952.834777832031,12176.527465820312,7142.403015136719,15970.488525390625,20689.197387695312,16794.195373535156,21121.90545654297,17753.79718017578,18854.296142578125,11292.117614746094,4503.977966308594,8139.1619873046875
38669.84490966797,40853.373779296875,44475.17987060547,32425.484985351562,28914.77618408203,35215.08483886719,6250.4779052734375,3973.3142700195312,8276.696533203125,5968.681701660156,3864.6800537109375,6692.969665527344
5188.5787353515625,49450.51007080078,22447.440856933594,18939.485107421875,45384.27624511719,33218.00469970703,24200.283752441406,15090.31591796875,20562.585815429688,15355.623718261719,13136.247619628906,15884.599609375
6179.1591796875,43387.43231201172,17175.391174316406,20235.721557617188,23694.329467773438,18191.796997070312,25251.235961914062,15581.688110351562,19724.233032226562,21951.450256347656,14542.773620605469,16832.140686035156
3507.8461303710938,45869.06872558594,19945.075622558594,25711.107666015625,33309.38458251953,28985.937255859375,25217.25732421875,26477.320373535156,25960.62646484375,14756.508544921875,17496.305114746094,16473.21209716797
44060.108154296875,63935.27990722656,60998.11505126953,21038.309143066406,30594.046630859375,27342.22802734375,7807.140380859375,6230.3389892578125,8116.4967041015625,5173.413024902344,6317.949279785156,5681.1845703125
12586.338745117188,62610.206298828125,36399.98742675781,20100.546813964844,40428.36798095703,29828.80206298828,15502.657409667969,12690.335266113281,14052.145324707031,8721.001892089844,8121.903625488281,7846.6669921875
19498.275756835938,16144.748962402344,18478.827880859375,32117.591857910156,26099.34930419922,29219.329711914062,23363.518188476562,18962.50506591797,21523.96405029297,11271.896606445312,10187.173461914062,10946.867736816406
9070.12158203125,14730.013549804688,12219.281311035156,26013.325805664062,24489.047607421875,27608.640502929688,18403.287231445312,14816.67041015625,19321.38397216797,10780.26318359375,322.20025634765625,8835.500671386719
9952.341979980469,7440.633605957031,8351.850891113281,12526.527465820312,9052.322265625,10082.441955566406,11012.770874023438,9046.385498046875,9602.480651855469,7073.5675048828125,6080.426940917969,6447.886779785156
4860.151123046875,16983.9326171875,11160.106994628906,16811.11669921875,29226.079162597656,23139.673767089844,15657.78271484375,20560.100952148438,17957.870544433594,5758.8565673828125,12775.100219726562,9451.910461425781
